country,ef_epi_score,ef_epi_band,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,pollution_index,climate_index,official_languages,english_official,region,population,currency,gdp_per_capita_usd,skilled_worker_visa,visa_name,passport_visa_free_count
Netherlands,624,Very High,213.6,136.6,74.5,81.5,73.4,20.9,86.9,Dutch,False,Europe,18100436,"euro (EUR, €)",67520.42,yes,Highly Skilled Migrant Programme (HSMP),37.0
Croatia,617,Very High,176.6,88.7,75.7,65.1,52.4,31.8,87.1,Croatian,False,Europe,3866233,"euro (EUR, €)",24050.44,yes,Temporary Stay for Work (EU Blue Card),37.0
Austria,616,Very High,199.8,123.2,71.5,78.9,71.3,20.4,76.6,English,True,Oceania,27536874,"Australian dollar (AUD, $)",64603.99,yes,Red-White-Red Card,8.0
Germany,615,Very High,196.3,142.0,61.6,72.4,68.7,28.2,82.9,German,False,Europe,83491249,"euro (EUR, €)",56103.73,yes,Skilled Immigration Act (Fachkräfteeinwanderungsgesetz),39.0
Norway,613,Very High,195.4,128.0,66.7,75.8,83.7,19.0,70.6,"Norwegian Bokmål, Norwegian Nynorsk, Sami",False,Europe,5606944,"Norwegian krone (NOK, kr)",86785.43,yes,Skilled Workers Residence Permit,37.0
Portugal,612,Very High,169.5,68.7,67.0,72.0,48.8,29.9,97.8,Portuguese,False,Europe,10749635,"euro (EUR, €)",29292.24,yes,D3 Highly Qualified Activity Visa,37.0
Denmark,611,Very High,212.2,150.6,73.8,77.2,78.9,22.7,81.2,Danish,False,Europe,6011488,"Danish krone (DKK, kr)",71026.48,yes,Pay Limit / Fast-Track Scheme,37.0
Sweden,609,Very High,189.3,136.9,52.1,68.3,68.0,17.6,65.0,Swedish,False,Europe,10605098,"Swedish krona (SEK, kr)",57117.49,yes,Work Permit for Highly Qualified Workers,37.0
Belgium,608,Very High,175.2,127.5,50.8,76.4,68.6,46.8,86.5,"Dutch, French, German",False,Europe,11825551,"euro (EUR, €)",56614.57,yes,Single Permit / European Blue Card,37.0
Slovakia,606,Very High,181.5,89.9,75.5,66.2,54.1,22.7,80.6,Slovene,False,Europe,2130638,"euro (EUR, €)",34301.03,yes,Blue Card / Temporary Residence for Employment,37.0
Romania,605,Very High,143.0,78.6,67.2,56.5,40.6,58.4,76.3,Romanian,False,Europe,19036031,"Romanian leu (RON, lei)",20080.21,yes,Long-Stay Visa for Employment,37.0
Finland,603,Very High,204.4,132.6,73.5,77.6,69.0,11.8,54.4,"Finnish, Swedish",False,Europe,5650325,"euro (EUR, €)",53149.77,yes,Residence Permit for Employed Persons,37.0
South Africa,602,Very High,150.9,112.0,25.5,64.0,37.1,56.9,95.7,"Afrikaans, English, Northern Sotho, Southern Ndebele, Southern Sotho, Swazi, Tsonga, Tswana, Venda, Xhosa, Zulu",True,Africa,63100945,"South African rand (ZAR, R)",2690.08,yes,Critical Skills Work Visa,6.0
Zimbabwe,602,Very High,,,,,,,,"Chewa, Chibarwe, English, Kalanga, Khoisan, Ndau, Northern Ndebele, Shona, Sotho, Tonga, Tsonga, Tswana, Venda, Xhosa, Zimbabwean Sign Language",True,Africa,17073087,"Zimbabwean dollar (ZWL, $)",2497.2,,,5.0
Poland,600,Very High,156.1,99.8,71.3,57.9,47.3,55.5,75.7,Polish,False,Europe,37392000,"Polish złoty (PLN, zł)",25103.57,yes,Temporary Residence for Highly Qualified Workers,37.0
Latvia,598,High,167.3,79.1,63.7,63.6,52.3,29.1,76.8,Latvian,False,Europe,1829000,"euro (EUR, €)",23409.08,yes,Residence Permit for Highly Qualified Employees,37.0
North Macedonia,595,High,124.2,66.1,58.6,55.4,35.5,79.2,79.9,Macedonian,False,Europe,1822612,"denar (MKD, den)",9291.86,,,3.0
Bulgaria,594,High,148.3,85.9,64.5,58.3,41.6,62.6,81.2,Bulgarian,False,Europe,6437360,"Bulgarian lev (BGN, лв)",17596.02,yes,Residence Permit for Employment (Blue Card),37.0
Kenya,593,High,99.4,36.7,44.9,62.2,28.9,69.0,87.1,"English, Swahili",True,Africa,53330978,"Kenyan shilling (KES, Sh)",2132.43,yes,Work Permit Class G,4.0
